Category,Full Category Name,Source
BS,BLACK SQUARE,LEGACY
CE,CLAZZIQUAI EDITION,LEGACY
ES,EMOTIONAL SENSE,LEGACY
ESTI,ESTIMATE,LEGACY
P1,PORTABLE 1,LEGACY
P2,PORTABLE 2,LEGACY
P3,PORTABLE 3,LEGACY
T1,TECHNIKA 1,LEGACY
T2,TECHNIKA 2,LEGACY
T3,TECHNIKA 3,LEGACY
TQ,TECHNIKA TUNE/Q,LEGACY
TR,TRILOGY,LEGACY
CP,CLEAR PASS,NEW
RP,RESPECT / V,NEW
VE,V EXTENSION,NEW
VE2,V EXTENSION 2,NEW
VE3,V EXTENSION 3,NEW
VE4,V EXTENSION 4,NEW
VE5,V EXTENSION 5,NEW
VL,V LIBERTY,NEW
VL2,V LIBERTY 2,NEW
CHU,CHUNITHM,MUSIC GAME COLLABORATION
CY,CYTUS,MUSIC GAME COLLABORATION
DM,DEEMO,MUSIC GAME COLLABORATION
EZ2,EZ2ON,MUSIC GAME COLLABORATION
GC,GROOVE COASTER,MUSIC GAME COLLABORATION
MD,MUSE DASH,MUSIC GAME COLLABORATION
FAL,FALCOM,VARIETY COLLABORATION
GF,GIRLS FRONTLINE,VARIETY COLLABORATION
GG,GUILTY GEAR,VARIETY COLLABORATION
MAP,MAPLESTORY,VARIETY COLLABORATION
NXN,NEXON,VARIETY COLLABORATION
TEK,TEKKEN,VARIETY COLLABORATION
BA,BLUE ARCHIVE,VARIETY COLLABORATION
P-TR1,PLI: TRIBUTE VOL. 1,PLI